timestamp,spot_price,previous_hedge_position,target_hedge_position,hedge_trade_size,hedge_trade_notional,hedge_fee,side,reason_for_rebalance
28928160,93420.5549,0.0,0.57785,0.578,53997.0807322,21.59883229288,buy,threshold
28928161,93450.422,0.578,1.01789,0.44,41118.18568,16.447274272,buy,threshold
28928170,93341.1099,1.018,0.9873,-0.031,2893.5744068999998,1.1574297627599999,sell,threshold
28928174,93458.4631,0.987,1.02205,0.035,3271.0462085,1.3084184834,buy,threshold
28928176,93583.9284,1.022,1.05884,0.037,3462.6053508,1.3850421403200002,buy,threshold
28928192,93738.1676,1.059,1.10269,0.044,4124.4793744,1.64979174976,buy,threshold
28928196,93671.034,1.103,1.0791,-0.024,2248.104816,0.8992419264,sell,threshold
28928200,93738.1044,1.079,1.10068,0.022,2062.2382967999997,0.8248953187199999,buy,threshold
28928210,93893.2016,1.101,1.14712,0.046,4319.0872736,1.72763490944,buy,threshold
28928213,93989.2683,1.147,1.1749999999999998,0.028,2631.6995124,1.0526798049600001,buy,threshold
28928217,94088.8932,1.175,1.19539,0.02,1881.7778640000001,0.7527111456000001,buy,threshold
28928218,94276.8287,1.195,1.25636,0.061,5750.8865507,2.3003546202800003,buy,threshold
28928220,94086.554,1.256,1.20065,-0.055,5174.76047,2.069904188,sell,threshold
28928221,94062.0777,1.201,1.5636700000000001,0.363,34144.5342051,13.657813682039999,buy,threshold
28928223,93958.3215,1.564,1.526,-0.038,3570.416217,1.4281664868000001,sell,threshold
28928225,93744.8266,1.526,1.43561,-0.09,8437.034394,3.3748137576,sell,threshold
28928227,93797.0152,1.436,1.4606,0.025,2344.92538,0.9379701520000001,buy,threshold
28928229,93878.177,1.4609999999999999,1.4956599999999998,0.035,3285.736195,1.314294478,buy,threshold
28928232,93968.0866,1.4959999999999998,1.5331,0.037,3476.8192041999996,1.3907276816799998,buy,threshold
28928235,93913.7467,1.5329999999999997,1.5040499999999999,-0.029,2723.4986543000005,1.0893994617200002,sell,threshold
28928236,93826.907,1.5039999999999998,1.4696699999999998,-0.034,3190.1148380000004,1.2760459352000002,sell,threshold
28928243,93706.2109,1.4699999999999998,1.4151399999999998,-0.055,5153.8415995000005,2.0615366398000003,sell,threshold
28928251,93749.4307,1.4149999999999998,1.43712,0.022,2062.4874753999998,0.82499499016,buy,threshold
28928254,93799.4991,1.4369999999999998,1.45981,0.023,2157.3884793,0.8629553917200001,buy,threshold
28928255,93719.6176,1.4599999999999997,1.42247,-0.038,3561.3454687999997,1.42453818752,sell,threshold
28928256,93757.6877,1.4219999999999997,1.44217,0.02,1875.153754,0.7500615016,buy,threshold
28928267,93685.0412,1.4419999999999997,1.40732,-0.035,3278.9764420000006,1.3115905768000002,sell,threshold
28928270,93577.6292,1.4069999999999998,1.3589000000000002,-0.048,4491.7262015999995,1.79669048064,sell,threshold
28928272,93466.0792,1.3589999999999998,1.3092499999999998,-0.05,4673.30396,1.8693215840000001,sell,threshold
28928273,93511.0308,1.3089999999999997,1.33283,0.024,2244.2647392,0.89770589568,buy,threshold
28928274,93453.2308,1.3329999999999997,1.30549,-0.028,2616.6904624000003,1.0466761849600001,sell,threshold
28928281,93499.7064,1.3049999999999997,1.33034,0.025,2337.49266,0.934997064,buy,threshold
28928283,93579.9409,1.3299999999999996,1.3692900000000001,0.039,3649.6176951,1.4598470780400001,buy,threshold
28928287,93533.3133,1.3689999999999996,1.3412099999999998,-0.028,2618.9327724,1.04757310896,sell,threshold
28928291,93584.1674,1.3409999999999995,1.36498,0.024,2246.0200176000003,0.8984080070400001,buy,threshold
28928297,93538.382,1.3649999999999995,1.34096,-0.024,2244.921168,0.8979684672,sell,threshold
28928299,93589.6643,1.3409999999999995,1.36541,0.024,2246.1519432,0.8984607772800001,buy,threshold
28928301,93546.4923,1.3649999999999995,1.3413300000000001,-0.024,2245.1158152,0.89804632608,sell,threshold
28928310,93622.397,1.3409999999999995,1.38212,0.041,3838.518277,1.5354073108000001,buy,threshold
28928318,93703.0339,1.3819999999999995,1.41869,0.037,3467.0122542999998,1.38680490172,buy,threshold
28928328,93770.671,1.4189999999999994,1.4427400000000001,0.024,2250.4961040000003,0.9001984416000002,buy,threshold
28928332,93876.7259,1.4429999999999994,1.4967,0.054,5069.3431986000005,2.02773727944,buy,threshold
28928334,93840.9549,1.4969999999999994,1.47568,-0.021,1970.6600529,0.78826402116,sell,threshold
28928339,93887.6262,1.4759999999999995,1.50094,0.025,2347.190655,0.938876262,buy,threshold
28928340,93845.4276,1.5009999999999994,1.4804300000000001,-0.021,1970.7539796,0.78830159184,sell,threshold
28928341,93777.3174,1.4799999999999995,1.44677,-0.033,3094.6514742,1.2378605896800001,sell,threshold
28928356,93720.0229,1.4469999999999996,1.4169800000000001,-0.03,2811.6006869999997,1.1246402748,sell,threshold
28928357,93654.6431,1.4169999999999996,1.3866,-0.03,2809.6392929999997,1.1238557171999999,sell,threshold
28928383,93685.4846,1.3869999999999996,1.4089099999999999,0.022,2061.0806611999997,0.82443226448,buy,threshold
28928387,93568.6373,1.4089999999999996,1.35401,-0.055,5146.2750515,2.0585100206,sell,threshold
28928390,93612.6968,1.3539999999999996,1.3746399999999999,0.021,1965.8666328000002,0.7863466531200001,buy,threshold
28928402,93555.9887,1.3749999999999996,1.34796,-0.027,2526.0116949,1.01040467796,sell,threshold
28928411,93515.2951,1.3479999999999996,1.32568,-0.022,2057.3364922,0.82293459688,sell,threshold
28928435,93478.4638,1.3259999999999996,1.3046000000000002,-0.021,1963.0477398,0.78521909592,sell,threshold
28928436,93433.7216,1.3049999999999997,1.28495,-0.02,1868.674432,0.7474697728,sell,threshold
28928459,93355.3679,1.2849999999999997,1.24903,-0.036000000000000004,3360.7932444000003,1.3443172977600002,sell,threshold
28928466,93403.1281,1.2489999999999997,1.27362,0.025,2335.0782025000003,0.9340312810000002,buy,threshold
28928473,93451.5508,1.2739999999999996,1.29698,0.023,2149.3856683999998,0.8597542673599999,buy,threshold
28928475,93413.8036,1.2969999999999995,1.27643,-0.021,1961.6898756,0.78467595024,sell,threshold
28928479,93460.7297,1.2759999999999996,1.2980999999999998,0.022,2056.1360533999996,0.8224544213599999,buy,threshold
28928480,93523.2014,1.2979999999999996,1.3259999999999998,0.028,2618.6496392000004,1.04745985568,buy,threshold
28928487,93606.415,1.3259999999999996,1.3627600000000002,0.037,3463.4373549999996,1.3853749419999999,buy,threshold
28928489,93661.374,1.3629999999999995,1.39004,0.027,2528.857098,1.0115428392,buy,threshold
28928494,93616.9381,1.3899999999999995,1.36753,-0.022,2059.5726382,0.8238290552799999,sell,threshold
28928520,93541.9464,1.3679999999999994,1.33393,-0.034,3180.4261776000003,1.2721704710400001,sell,threshold
28928527,93480.3698,1.3339999999999994,1.30427,-0.03,2804.411094,1.1217644376,sell,threshold
28928531,93435.5846,1.3039999999999994,1.28395,-0.02,1868.711692,0.7474846768000001,sell,threshold
28928542,93474.7925,1.2839999999999994,1.30624,0.022,2056.4454349999996,0.8225781739999999,buy,threshold
28928551,93404.738,1.3059999999999994,1.27061,-0.035,3269.1658300000004,1.3076663320000002,sell,threshold
28928560,93449.7804,1.2709999999999995,1.29432,0.023,2149.3449492,0.85973797968,buy,threshold
28928574,93497.9982,1.2939999999999994,1.3161300000000002,0.022,2056.9559604,0.82278238416,buy,threshold
28928588,93453.3324,1.3159999999999994,1.29335,-0.023,2149.4266452,0.8597706580800001,sell,threshold
28928597,93501.1327,1.2929999999999995,1.3177699999999999,0.025,2337.5283175,0.935011327,buy,threshold
28928607,93560.7267,1.3179999999999994,1.3431700000000002,0.025,2339.0181675,0.935607267,buy,threshold
28928621,93588.7784,1.3429999999999993,1.32034,-0.023,2152.5419032,0.86101676128,sell,threshold
28928637,93546.2392,1.3199999999999994,1.29703,-0.023,2151.5635015999997,0.8606254006399999,sell,threshold
28928641,93563.514,1.2969999999999995,1.8209299999999997,0.524,49027.281336,19.6109125344,buy,threshold
28928644,93570.5243,1.8209999999999995,2.17164,0.35100000000000003,32843.254029300006,13.137301611720003,buy,threshold
28928645,93548.1042,2.1719999999999997,2.15195,-0.02,1870.962084,0.7483848336000001,sell,threshold
28928646,93604.0537,2.1519999999999997,2.20061,0.049,4586.5986313,1.8346394525200003,buy,threshold
28928652,93587.2527,2.2009999999999996,2.18055,-0.02,1871.745054,0.7486980216,sell,threshold
28928656,93562.2935,2.1809999999999996,2.15698,-0.024,2245.4950440000002,0.8981980176000002,sell,threshold
28928665,93443.7005,2.1569999999999996,2.0562899999999997,-0.101,9437.813750500001,3.7751255002000006,sell,threshold
28928666,93340.3569,2.0559999999999996,1.9779,-0.078,7280.5478382,2.91221913528,sell,threshold
28928667,93288.8696,1.9779999999999995,1.9246399999999997,-0.053,4944.3100888,1.97772403552,sell,threshold
28928671,93382.8766,1.9249999999999996,2.00378,0.079,7377.2472514,2.9508989005600004,buy,threshold
28928672,93354.8296,2.0039999999999996,1.9796,-0.024,2240.5159104,0.89620636416,sell,threshold
28928674,93336.3656,1.9799999999999995,1.95972,-0.02,1866.7273120000002,0.7466909248000001,sell,threshold
28928675,93387.1022,1.9599999999999995,2.0036099999999997,0.044,4109.0324967999995,1.6436129987199999,buy,threshold
28928678,93326.8156,2.0039999999999996,1.9475799999999999,-0.056,5226.3016736,2.09052066944,sell,threshold
28928680,93385.256,1.9479999999999995,1.99812,0.05,4669.2627999999995,1.8677051199999999,buy,threshold
28928684,93349.3206,1.9979999999999996,1.9610299999999998,-0.037,3453.9248622,1.38156994488,sell,threshold
28928685,93298.2091,1.9609999999999996,1.91985,-0.041,3825.2265730999998,1.53009062924,sell,threshold
28928686,93230.5078,1.9199999999999997,1.86245,-0.058,5407.3694524,2.16294778096,sell,threshold
28928688,93275.9995,1.8619999999999997,1.90732,0.045,4197.4199775,1.678967991,buy,threshold
28928690,93331.6132,1.9069999999999996,1.95369,0.047,4386.585820400001,1.7546343281600003,buy,threshold
28928691,93402.9741,1.9539999999999995,2.0111499999999998,0.057,5323.9695237000005,2.1295878094800003,buy,threshold
28928692,93378.1864,2.0109999999999997,1.9836699999999998,-0.027,2521.2110328000003,1.0084844131200001,sell,threshold
28928695,93346.8185,1.9839999999999998,1.9533,-0.031,2893.7513734999998,1.1575005494,sell,threshold
28928697,93313.909,1.9529999999999998,1.9281199999999998,-0.025,2332.847725,0.9331390900000001,sell,threshold
28928702,93342.6243,1.928,1.95113,0.023,2146.8803589,0.85875214356,buy,threshold
28928706,93275.5327,1.9509999999999998,1.89085,-0.06,5596.531961999999,2.2386127848,sell,threshold
