date,nav,daily_return,option_pnl,hedge_pnl,option_fees,hedge_fees,total_pnl,cumulative_pnl,net_delta_before_hedge,net_delta_after_hedge,net_gamma,net_vega,net_theta,open_positions
2025-01-11,988493.7485124308,-0.001076364592170198,235.80946336000306,-184.54604340000333,2.7116569212650035,1113.6778975764664,-1065.1261345377318,-11506.251487569185,-3.11619,-0.0021899999999952,-0.00131,-97.60196000000002,1101.71545,5
2025-01-12,988145.4961194508,-0.0003523061157484353,1297.6459246299992,-792.851307999982,0.6364563214499981,852.4105532885478,-348.2523929799807,-11854.503880549222,-3.05671,-0.0167099999999997,-0.00101,-72.09808,1601.74905,5
2025-01-13,984455.0330407816,-0.0037347365273251443,1233.3397828999991,-2404.7777410999897,1.9584214845000005,2517.066698984636,-3690.4630786691264,-15544.966959218378,-4.09366,0.0133400000000003,-0.00085,-35.62124,905.82968,5
2025-01-14,983291.7389181548,-0.0011816630354700708,-3144.400807449972,3525.777209900022,2.2596715383250014,1542.410853538866,-1163.2941226271407,-16708.26108184515,-3.6566,-0.0036000000000027,-0.00115,-48.94784,1060.02963,5
2025-01-15,986378.4429355311,0.0031391538189595725,-8841.68201875002,12996.530078500009,2.8698650955,1065.2741772778172,3086.704017376672,-13621.557064468856,-4.494829999999999,0.0001699999999962,-0.0005099999999999,-29.54727,712.8840899999999,5
2025-01-16,981347.2954197058,-0.005100625983727181,874.6062324500108,-4138.511246000078,3.334777620000004,1763.907724655408,-5031.147515825475,-18652.7045802942,-3.5354,-0.0004000000000039,-0.00112,-58.518640000000005,1130.40082,5
2025-01-17,977264.2546377652,-0.004160648122227051,-17450.352142399977,14289.908589700004,2.2369150574000045,920.3603141832791,-4083.0407819406523,-22735.745362234768,-4.71217,-0.0061700000000044,-0.00028,-21.57496,593.40166,5
2025-01-18,979112.4170141048,0.0018911592924522047,5115.257109600003,-1935.2680417000302,2.175886792450001,1329.6508047680327,1848.16237633949,-20887.58298589522,-4.36324,-0.0132400000000032,-0.0006399999999999,-42.9515,754.21684,5
2025-01-19,974736.8731182874,-0.004468888168287166,3777.751504530017,-6226.271506700043,2.045078847950002,1924.9788147992404,-4375.543895817216,-25263.126881712582,-0.62022,-0.0002199999999982,-0.00034,-29.70595,878.6258200000001,5
2025-01-20,969299.9045795584,-0.00557788331258624,-485.03600977998576,-2706.7620672000594,5.983084341025005,2239.187377407987,-5436.968538729057,-30700.09542044159,-0.5352399999999999,-0.0002399999999955,-0.00021,-27.633470000000003,1091.26335,5
2025-01-21,966349.865542614,-0.0030434739784938047,-13579.471830800001,11672.74040129999,3.294741745400003,1040.0128656988563,-2950.0390369442666,-33650.13445738598,-4.658,0.0050000000000025,-0.00027,-22.45616,781.25775,5
2025-01-22,967661.5109934056,0.0013573194321863102,12350.656074520033,-9278.608337000034,3.075196911025003,1757.3270898174305,1311.6454507915432,-32338.489006594406,-1.08354,-0.0095399999999985,-0.00092,-42.26097,809.3927699999999,5
2025-01-23,960404.129708588,-0.007499917277237866,-1650.6069691699995,-3438.1429764000713,2.727478858000005,2165.9038603895897,-7257.38128481766,-39595.87029141199,-3.56211,0.0128900000000027,-0.00084,-52.05588,1547.7524600000002,5
2025-01-24,958620.8534790012,-0.0018567977525543178,-1033.6355568000217,1456.2064439000715,2.4437967134500127,2203.403319973324,-1783.2762295867242,-41379.146520998795,-1.62289,0.000110000000004,-0.00149,-47.4733,661.12292,5
2025-01-25,957847.1910027656,-0.0008070578408845286,891.2809095999983,-425.925891899984,2.7911960404499965,1236.226297895053,-773.6624762354887,-42152.808997234446,-2.58775,-0.0057499999999972,-0.0007499999999999,-145.58413,1381.7622,5
2025-01-26,956710.7160350112,-0.0011864888036728916,4011.8160739999985,-4394.170805900056,0.0,754.120235854447,-1136.4749677545042,-43289.283964988776,-1.05361,0.0003900000000038,-0.00053,-72.03975000000001,1421.74464,5
2025-01-27,955331.0893910716,-0.0014420520443811924,-1949.8728179499994,1767.354388999971,1.806882570475004,1195.3013324191052,-1379.6266439396086,-44668.91060892842,-2.11397,0.0020300000000066,-0.0003,-16.562929999999998,318.36027,5
2025-01-28,953900.218154147,-0.001497775224541864,3540.1771104000036,-3196.27445039996,2.824390612299986,1771.9495063121576,-1430.8712369244142,-46099.781845852965,-1.15254,0.0004600000000027,-0.0009699999999999,-41.95214,809.6624499999998,5
2025-01-29,951489.404947424,-0.00252732220922236,-1810.4536936700097,1795.4380639000265,2.6964505392000007,2393.101126414156,-2410.8132067233396,-48510.59505257604,-3.40517,-0.0001699999999926,-0.00113,-50.45294,1140.00446,5
2025-01-30,951204.5894545394,-0.0002993364838365098,-3418.8964338300357,4499.519384900093,1.8989589610000053,1363.5394849934964,-284.81549288443875,-48795.41054546065,-1.41513,0.0058700000000073,-0.00081,-36.83307,724.7453,4
2025-01-31,951435.6052713234,0.0002428665918405848,1452.7270519999947,-787.127729999982,0.0,434.58350521598913,231.01581678402363,-48564.39472867665,0.0,8.93729534823251e-15,0.0,0.0,0.0,0
